date,USDT_price,USDT_supply,BTC_price
2018-12-19,1.021616398,1856421735.6243129,3747.42985778
2018-12-20,1.01941720449,1856421735.6243129,4132.2252904
2018-12-21,1.01550637863,1856421735.6243129,3894.39321098
2018-12-22,1.02184793037,1856421735.6243129,4012.16458122
2018-12-23,1.01642118814,1856421735.6243129,3998.52858546
2018-12-24,1.01577676436,1856421735.6243129,4080.47896096
2018-12-25,1.01890708152,1856421735.6243129,3815.49060966
2018-12-26,1.02197779245,1856421735.6243129,3855.93115879
2018-12-27,1.02400391176,1856421735.6243129,3659.30990152
2018-12-28,1.02416482393,1856517709.9429028,3926.3291364
2018-12-29,1.02941465174,1858164807.5580013,3827.77729964
2018-12-30,1.01980158456,1858164807.5579987,3867.27236149
2018-12-31,1.01434299641,1858341290.2246654,3741.29679518
2019-01-01,1.01821496717,1858694255.5579987,3840.95924899
2019-01-02,1.02318922784,1859458144.4468875,3943.28984335
2019-01-03,1.01926767536,1863780412.280221,3836.55804793
2019-01-04,1.0161915371,1865458302.4468875,3858.23828002
2019-01-05,1.01837167752,1866343583.5579987,3841.06117029
2019-01-06,1.02312086949,1866343583.5579987,4076.20331956
2019-01-07,1.0148466783,1866940805.780221,4024.46206645
2019-01-08,1.02021239407,1875553040.891332,4033.55475363
2019-01-09,1.01742812323,1886795020.3079984,4035.71294082
2019-01-10,1.02200388529,1896069042.8064198,3679.79347408
2019-01-11,1.02275472937,1910796278.2802234,3686.21992857
2019-01-12,1.01943160718,1928363198.5579982,3660.89928219
2019-01-13,1.01982587441,1928363198.5580008,3552.00916983
2019-01-14,1.02085600848,1937593724.9992797,3706.05222041
2019-01-15,1.01970169096,1971603098.5928512,3629.3994895
2019-01-16,1.0176773344,1991135347.1413312,3656.46477524
2019-01-17,1.01757459496,1999555237.4329977,3679.8126213
2019-01-18,1.01642418693,2006645245.9746644,3653.6664613
2019-01-19,1.01629047728,2015486116.5579982,3729.0822985
2019-01-20,1.01698690998,2016152116.5579977,3602.94669388
2019-01-21,1.01365492926,2016275408.2246644,3577.02585978
2019-01-22,1.00913217043,2016681554.058003,3605.04565371
2019-01-23,1.00829657096,2017146366.557998,3585.12306636
2019-01-24,1.01071760848,2014636712.4800847,3605.01000288
2019-01-25,1.01113495611,2017251166.558008,3602.06803677
2019-01-26,1.00915669927,2017251166.5579977,3601.75215591
2019-01-27,1.00924258882,2017251166.5579977,3586.69221638
2019-01-28,1.00955357187,2017288666.5579977,3472.33980503
2019-01-29,1.01040429453,2020851166.5579977,3447.03376969
2019-01-30,1.00673258298,2020853871.4191089,3485.3190571
2019-01-31,1.00713314797,2018353521.0011885,3457.19185903
2019-02-01,1.00645600442,2020855916.5580003,3488.65467674
2019-02-02,1.00474775919,2020855916.5579977,3526.76852089
2019-02-03,1.00153528877,2020855916.5579977,3461.49672071
2019-02-04,0.998862219757,2020855916.5579977,3456.78537352
2019-02-05,0.997320787519,2020855916.5580003,3460.72479577
2019-02-06,1.00054761661,2020914330.4468868,3412.83264537
2019-02-07,1.00074729669,2021103316.5580003,3400.6012536
2019-02-08,1.00103739621,2021294599.8913307,3661.6593387
2019-02-09,1.00062098736,2021402716.5579977,3671.81055872
2019-02-10,1.00147328824,2021402716.5579977,3684.24956988
2019-02-11,1.00406316711,2021407408.2246695,3648.09335231
2019-02-12,1.00346962605,2021459016.5580091,3653.99110555
